xmin,ymin,zmin,xmax,ymax,zmax
-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,7.479999999999999716e+01,6.509999999999999432e+01,1.100000000000000000e+01
1.465999999999999943e+02,3.104999999999999716e+01,0.000000000000000000e+00,2.224000000000000057e+02,6.509999999999999432e+01,1.600000000000000000e+01
4.418000000000000114e+02,3.104999999999999716e+01,0.000000000000000000e+00,5.176000000000000227e+02,6.509999999999999432e+01,1.600000000000000000e+01
-1.000000000000000000e+00,1.271999999999999886e+02,0.000000000000000000e+00,7.479999999999999716e+01,2.253499999999999943e+02,1.600000000000000000e+01
1.465999999999999943e+02,1.271999999999999886e+02,0.000000000000000000e+00,2.961999999999999886e+02,2.253499999999999943e+02,1.600000000000000000e+01
3.015799999999999841e+02,1.271999999999999886e+02,0.000000000000000000e+00,3.331000000000000227e+02,2.253499999999999943e+02,1.600000000000000000e+01
3.458600000000000136e+02,1.271999999999999886e+02,0.000000000000000000e+00,3.700000000000000000e+02,2.253499999999999943e+02,1.600000000000000000e+01
4.048999999999999773e+02,1.592500000000000000e+02,0.000000000000000000e+00,5.545000000000000000e+02,2.253499999999999943e+02,1.600000000000000000e+01
5.893999999999999773e+02,1.592500000000000000e+02,0.000000000000000000e+00,6.282999999999999545e+02,2.253499999999999943e+02,1.600000000000000000e+01
2.204000000000000057e+02,3.195000000000000000e+02,0.000000000000000000e+00,3.331000000000000227e+02,3.535500000000000114e+02,1.600000000000000000e+01
3.384800000000000182e+02,3.195000000000000000e+02,0.000000000000000000e+00,3.552400000000000091e+02,3.535500000000000114e+02,1.600000000000000000e+01
3.606200000000000045e+02,3.195000000000000000e+02,0.000000000000000000e+00,3.995199999999999818e+02,3.535500000000000114e+02,1.600000000000000000e+01
4.048999999999999773e+02,3.195000000000000000e+02,0.000000000000000000e+00,5.176000000000000227e+02,3.535500000000000114e+02,1.600000000000000000e+01
5.525000000000000000e+02,3.195000000000000000e+02,0.000000000000000000e+00,5.913999999999999773e+02,3.856000000000000227e+02,1.600000000000000000e+01
-7.479999999999999716e+01,3.836000000000000227e+02,0.000000000000000000e+00,1.000000000000000000e+00,5.137999999999999545e+02,1.600000000000000000e+01
1.375999999999999979e+01,3.836000000000000227e+02,0.000000000000000000e+00,7.479999999999999716e+01,4.689300000000000068e+02,1.600000000000000000e+01
2.204000000000000057e+02,3.836000000000000227e+02,0.000000000000000000e+00,2.593000000000000114e+02,4.496999999999999886e+02,1.600000000000000000e+01
2.351599999999999966e+02,4.476999999999999886e+02,0.000000000000000000e+00,2.961999999999999886e+02,4.689300000000000068e+02,1.600000000000000000e+01
2.204000000000000057e+02,5.117999999999999545e+02,0.000000000000000000e+00,2.961999999999999886e+02,5.458500000000000227e+02,1.600000000000000000e+01
3.015799999999999841e+02,5.117999999999999545e+02,0.000000000000000000e+00,3.478600000000000136e+02,5.778999999999999773e+02,1.600000000000000000e+01
3.532400000000000091e+02,5.117999999999999545e+02,0.000000000000000000e+00,3.700000000000000000e+02,5.458500000000000227e+02,1.600000000000000000e+01
2.573000000000000114e+02,3.836000000000000227e+02,0.000000000000000000e+00,3.331000000000000227e+02,4.496999999999999886e+02,1.600000000000000000e+01
3.311000000000000227e+02,3.836000000000000227e+02,0.000000000000000000e+00,3.995199999999999818e+02,4.496999999999999886e+02,1.600000000000000000e+01
4.048999999999999773e+02,3.836000000000000227e+02,0.000000000000000000e+00,5.545000000000000000e+02,4.496999999999999886e+02,1.600000000000000000e+01
5.893999999999999773e+02,3.836000000000000227e+02,0.000000000000000000e+00,6.282999999999999545e+02,4.817500000000000000e+02,1.600000000000000000e+01
1.375999999999999979e+01,5.117999999999999545e+02,0.000000000000000000e+00,7.479999999999999716e+01,5.778999999999999773e+02,1.600000000000000000e+01
5.893999999999999773e+02,5.758999999999999773e+02,0.000000000000000000e+00,6.652000000000000455e+02,6.420000000000000000e+02,1.600000000000000000e+01
