t,x,y,z
0.000000000000000000e+00,2.951999999999999886e+02,4.486999999999999744e+01,3.000000000000000000e+00
1.000000000000000056e-01,2.954108478599041518e+02,4.532247198798946641e+01,3.028500527340679760e+00
2.000000000000000111e-01,2.956216957198083151e+02,4.577494397597892828e+01,3.057001054681359076e+00
3.000000000000000444e-01,2.958325435797124783e+02,4.622741596396839725e+01,3.085501582022038836e+00
4.000000000000000222e-01,2.960433914396166415e+02,4.667988795195785912e+01,3.114002109362718596e+00
5.000000000000000000e-01,2.962542392995208047e+02,4.713235993994732809e+01,3.142502636703398355e+00
6.000000000000000888e-01,2.964650871594249679e+02,4.758483192793678995e+01,3.171003164044077671e+00
7.000000000000000666e-01,2.966759350193291311e+02,4.803730391592625892e+01,3.199503691384757431e+00
8.000000000000000444e-01,2.968867828792332375e+02,4.848977590391572079e+01,3.228004218725437191e+00
9.000000000000000222e-01,2.970976307391374007e+02,4.894224789190518976e+01,3.256504746066116951e+00
1.000000000000000000e+00,2.973084785990415639e+02,4.939471987989465163e+01,3.285005273406796267e+00
1.100000000000000089e+00,2.975193264589457272e+02,4.984719186788412060e+01,3.313505800747476027e+00
1.200000000000000178e+00,2.977301743188498904e+02,5.029966385587358957e+01,3.342006328088155787e+00
1.300000000000000044e+00,2.979410221787540536e+02,5.075213584386305143e+01,3.370506855428835102e+00
1.400000000000000133e+00,2.981518700386582168e+02,5.120460783185251330e+01,3.399007382769514862e+00
1.500000000000000000e+00,2.983627178985623800e+02,5.165707981984198227e+01,3.427507910110194622e+00
1.600000000000000089e+00,2.985735657584665432e+02,5.210955180783145124e+01,3.456008437450874382e+00
1.700000000000000178e+00,2.987844136183707064e+02,5.256202379582091311e+01,3.484508964791553698e+00
1.800000000000000044e+00,2.989952614782748697e+02,5.301449578381037497e+01,3.513009492132233458e+00
1.900000000000000133e+00,2.992061093381790329e+02,5.346696777179984394e+01,3.541510019472913218e+00
2.000000000000000000e+00,2.994169571980831961e+02,5.391943975978931292e+01,3.570010546813592534e+00
2.100000000000000089e+00,2.996278050579873593e+02,5.437191174777877478e+01,3.598511074154272293e+00
2.200000000000000178e+00,2.998386529178915225e+02,5.482438373576824375e+01,3.627011601494952053e+00
2.300000000000000266e+00,3.000495007777956289e+02,5.527685572375770562e+01,3.655512128835631813e+00
2.400000000000000355e+00,3.002603486376997921e+02,5.572932771174717459e+01,3.684012656176311573e+00
2.500000000000000000e+00,3.004711964976039553e+02,5.618179969973663646e+01,3.712513183516990889e+00
2.600000000000000089e+00,3.006820443575081185e+02,5.663427168772610543e+01,3.741013710857670649e+00
2.700000000000000178e+00,3.008928922174122818e+02,5.708674367571556729e+01,3.769514238198349965e+00
2.800000000000000266e+00,3.011037400773164450e+02,5.753921566370503626e+01,3.798014765539029725e+00
2.900000000000000355e+00,3.013145879372206082e+02,5.799168765169450523e+01,3.826515292879709484e+00
3.000000000000000000e+00,3.015254357971247714e+02,5.844415963968396710e+01,3.855015820220389244e+00
3.100000000000000089e+00,3.017362836570289346e+02,5.889663162767342897e+01,3.883516347561069004e+00
3.200000000000000178e+00,3.019471315169330978e+02,5.934910361566289794e+01,3.912016874901748320e+00
3.300000000000000266e+00,3.021579793768372610e+02,5.980157560365236691e+01,3.940517402242428080e+00
3.400000000000000355e+00,3.023688272367414243e+02,6.025404759164182877e+01,3.969017929583107840e+00
3.500000000000000000e+00,3.025796750966455875e+02,6.070651957963129064e+01,3.997518456923787156e+00
3.600000000000000089e+00,3.027905229565497507e+02,6.115899156762075961e+01,4.026018984264466916e+00
3.700000000000000178e+00,3.030013708164539139e+02,6.161146355561022858e+01,4.054519511605146675e+00
3.800000000000000266e+00,3.032122186763580203e+02,6.206393554359969045e+01,4.083020038945826435e+00
3.900000000000000355e+00,3.034230665362621835e+02,6.251640753158915231e+01,4.111520566286506195e+00
4.000000000000000000e+00,3.036339143961663467e+02,6.296887951957862128e+01,4.140021093627185067e+00
4.100000000000000533e+00,3.038447622560705099e+02,6.342135150756809026e+01,4.168521620967865715e+00
4.200000000000000178e+00,3.040556101159746731e+02,6.387382349555755923e+01,4.197022148308544587e+00
4.299999999999999822e+00,3.042664579758788364e+02,6.432629548354702820e+01,4.225522675649224347e+00
4.400000000000000355e+00,3.044773058357829996e+02,6.477876747153648296e+01,4.254023202989904107e+00
4.500000000000000000e+00,3.046881536956871628e+02,6.523123945952595193e+01,4.282523730330583867e+00
4.600000000000000533e+00,3.048990015555913260e+02,6.568371144751542090e+01,4.311024257671263626e+00
4.700000000000000178e+00,3.051098494154954892e+02,6.613618343550487566e+01,4.339524785011942498e+00
4.800000000000000711e+00,3.053206972753996524e+02,6.658865542349434463e+01,4.368025312352623146e+00
4.900000000000000355e+00,3.055315451353038156e+02,6.704112741148381360e+01,4.396525839693302018e+00
5.000000000000000000e+00,3.057423929952079789e+02,6.749359939947328257e+01,4.425026367033981778e+00
5.100000000000000533e+00,3.059532408551121421e+02,6.794607138746275155e+01,4.453526894374661538e+00
5.200000000000000178e+00,3.061640887150163053e+02,6.839854337545220631e+01,4.482027421715341298e+00
5.300000000000000711e+00,3.063749365749204117e+02,6.885101536344167528e+01,4.510527949056021058e+00
5.400000000000000355e+00,3.065857844348245749e+02,6.930348735143114425e+01,4.539028476396699929e+00
5.500000000000000000e+00,3.067966322947287381e+02,6.975595933942059901e+01,4.567529003737380577e+00
